year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2022,GM1680,Aa en Hunze,Gemeente,11336,11257,4,298000,75,25,20,5,5,93,25579
2022,GM1681,Borger-Odoorn,Gemeente,11276,11321,3,253000,74,26,20,6,5,93,25681
2022,GM1690,De Wolden,Gemeente,10504,10299,4,325000,74,25,17,8,5,109,24511
2022,GM1695,Noord-Beveland,Gemeente,4598,3752,20,269000,73,24,14,10,5,89,7668
2022,GM1696,Wijdemeren,Gemeente,10830,10820,6,484000,69,30,19,11,4,515,24494
2022,GM1699,Noordenveld,Gemeente,14934,14020,7,302000,71,29,19,10,4,157,31238
2022,GM1700,Twenterand,Gemeente,13931,13360,5,277000,66,34,26,8,4,318,33718
2022,GM1701,Westerveld,Gemeente,8584,8881,4,327000,75,25,17,8,5,71,19854
2022,GM1705,Lingewaard,Gemeente,20183,19932,2,326000,73,27,19,8,4,758,46963
2022,GM1706,Cranendonck,Gemeente,9113,8977,4,328000,74,26,16,10,4,270,20669
2022,GM1708,Steenwijkerland,Gemeente,20407,19821,5,270000,65,35,26,9,4,155,44741
2022,GM1709,Moerdijk,Gemeente,16672,16525,3,282000,66,34,27,7,4,234,37313
2022,GM1711,Echt-Susteren,Gemeente,14743,14380,4,260000,70,29,19,11,4,308,31731
2022,GM1714,Sluis,Gemeente,14132,11287,22,269000,66,28,16,12,5,83,23141
2022,GM1719,Drimmelen,Gemeente,11984,11830,3,336000,72,28,23,5,4,289,27476
2022,GM1721,Bernheze,Gemeente,12943,12989,3,374000,71,29,19,9,4,353,31715
2022,GM1723,Alphen-Chaam,Gemeente,4508,4329,6,402000,75,24,13,12,5,112,10425
2022,GM1724,Bergeijk,Gemeente,8161,8053,4,385000,78,22,13,9,4,187,18879
2022,GM1728,Bladel,Gemeente,8994,8883,4,366000,74,25,15,11,4,275,20718
2022,GM1729,Gulpen-Wittem,Gemeente,6887,6586,8,285000,67,33,19,15,5,194,14178
2022,GM1730,Tynaarlo,Gemeente,14672,14493,3,341000,77,23,15,8,4,240,34221
2022,GM1731,Midden-Drenthe,Gemeente,14674,14705,4,265000,70,30,23,7,5,99,33689
2022,GM1734,Overbetuwe,Gemeente,20309,20051,3,327000,68,32,22,10,4,443,48266
2022,GM1735,Hof van Twente,Gemeente,15351,15055,4,307000,68,32,20,12,4,165,35056
2022,GM1740,Neder-Betuwe,Gemeente,9021,9463,3,308000,66,34,29,6,5,417,25032
2022,GM1742,Rijssen-Holten,Gemeente,14939,14461,3,314000,69,31,21,10,3,406,38231
2022,GM1771,Geldrop-Mierlo,Gemeente,18120,18104,3,327000,66,34,26,8,3,1294,40131
2022,GM1773,Olst-Wijhe,Gemeente,7904,7727,3,319000,70,30,22,8,5,163,18496
2022,GM1774,Dinkelland,Gemeente,11107,10520,6,340000,74,26,12,13,5,151,26594
2022,GM1783,Westland,Gemeente,46369,47675,3,374000,69,31,24,8,3,1392,112448
2022,GM1842,Midden-Delfland,Gemeente,8052,7995,2,419000,73,27,21,5,3,413,19484
2022,GM1859,Berkelland,Gemeente,19721,19040,3,298000,68,32,24,8,4,170,43850
2022,GM1876,Bronckhorst,Gemeente,16317,15632,5,349000,71,29,18,11,5,127,36077
2022,GM1883,Sittard-Geleen,Gemeente,46677,45314,5,218000,59,41,28,13,2,1167,91719
2022,GM1884,Kaag en Braassem,Gemeente,12142,12035,4,379000,65,34,27,8,4,442,27895
2022,GM1891,Dantumadiel,Gemeente,8242,7906,2,247000,63,37,32,5,5,224,18957
2022,GM1892,Zuidplas,Gemeente,18688,18611,3,347000,68,32,26,6,3,790,45794
2022,GM1894,Peel en Maas,Gemeente,18752,18923,3,298000,73,27,20,7,4,278,44278
2022,GM1895,Oldambt,Gemeente,18736,18435,4,207000,64,36,26,10,4,170,38521
2022,GM1896,Zwartewaterland,Gemeente,9071,8731,4,262000,72,28,20,8,4,279,23012
2022,GM1900,Súdwest-Fryslân,Gemeente,42787,40537,5,251000,65,35,26,9,4,173,90300
2022,GM1901,Bodegraven-Reeuwijk,Gemeente,14854,14803,4,381000,72,28,20,8,3,474,35752
2022,GM1903,Eijsden-Margraten,Gemeente,11426,11262,4,317000,77,23,10,12,5,333,25857
2022,GM1904,Stichtse Vecht,Gemeente,28814,28618,5,392000,65,35,22,13,3,679,65240
2022,GM1911,Hollands Kroon,Gemeente,21208,21399,4,290000,71,29,22,7,5,136,48778
2022,GM1916,Leidschendam-Voorburg,Gemeente,37202,36944,4,339000,58,42,25,17,1,2351,76659
2022,GM1924,Goeree-Overflakkee,Gemeente,22329,21730,4,290000,65,35,28,6,4,195,51051
2022,GM1926,Pijnacker-Nootdorp,Gemeente,22203,22043,3,404000,72,28,19,9,2,1534,56572
2022,GM1930,Nissewaard,Gemeente,39921,39144,3,242000,58,42,37,5,2,1178,86332
2022,GM1931,Krimpenerwaard,Gemeente,24141,24102,4,330000,67,33,26,7,4,385,57062
2022,GM1940,De Fryske Marren,Gemeente,23564,22358,6,283000,70,30,23,7,4,147,51597
2022,GM1942,Gooise Meren,Gemeente,27037,26471,5,503000,64,36,22,14,2,1419,58846
2022,GM1945,Berg en Dal,Gemeente,15920,15911,3,304000,62,38,29,10,4,405,34951
2022,GM1948,Meierijstad,Gemeente,35406,35628,3,345000,69,30,21,10,3,449,82613
2022,GM1949,Waadhoeke,Gemeente,21332,20558,4,207000,68,32,24,8,5,162,46309
2022,GM1950,Westerwolde,Gemeente,11960,11270,7,234000,68,32,22,10,5,96,26571
2022,GM1952,Midden-Groningen,Gemeente,28313,28113,3,206000,62,38,29,9,4,219,60898
2022,GM1954,Beekdaelen,Gemeente,16722,16290,5,263000,73,27,18,9,4,459,35922
2022,GM1955,Montferland,Gemeente,16086,15938,3,253000,66,33,23,10,4,344,36359
2022,GM1959,Altena,Gemeente,22846,23007,3,320000,69,31,24,7,4,285,57009
2022,GM1960,West Betuwe,Gemeente,21230,21030,3,354000,72,28,21,7,5,241,51971
2022,GM1961,Vijfheerenlanden,Gemeente,24611,24182,3,331000,63,37,30,7,4,402,58788
2022,GM1963,Hoeksche Waard,Gemeente,38643,37994,3,309000,71,29,24,5,4,330,88715
2022,GM1966,Het Hogeland,Gemeente,22979,21749,6,213000,67,33,24,8,5,101,48022
2022,GM1969,Westerkwartier,Gemeente,27779,26904,3,261000,72,28,20,8,5,177,64306
2022,GM1970,Noardeast-Fryslân,Gemeente,20811,19816,5,233000,67,33,24,9,5,120,45593
2022,GM1978,Molenlanden,Gemeente,17625,17276,4,345000,69,31,25,5,5,246,44644
2022,GM1979,Eemsdelta,Gemeente,23177,21320,9,182000,58,42,31,11,4,169,45389
2022,GM1980,Dijk en Waard,Gemeente,36664,36544,2,312000,71,29,20,8,3,1417,87695
2022,GM1982,Land van Cuijk,Gemeente,39331,39073,3,303000,68,31,22,9,4,266,90707
2022,GM1991,Maashorst,Gemeente,25800,25512,3,336000,65,35,25,10,3,425,58362
