year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2023,GM0014,Groningen,Gemeente,122715,140359,5,294000,40,60,32,28,1,1284,238147
2023,GM0034,Almere,Gemeente,90690,94739,3,363000,63,37,27,10,2,1725,222825
2023,GM0037,Stadskanaal,Gemeente,15177,14765,4,242000,60,39,30,9,4,273,32135
2023,GM0047,Veendam,Gemeente,13013,12817,3,212000,65,35,24,11,3,364,27616
2023,GM0050,Zeewolde,Gemeente,9354,10215,2,393000,70,30,22,7,4,96,23692
2023,GM0059,Achtkarspelen,Gemeente,12289,12029,3,256000,64,36,30,6,5,275,28149
2023,GM0060,Ameland,Gemeente,1859,1847,13,342000,66,34,0,34,5,68,3840
2023,GM0072,Harlingen,Gemeente,8035,7795,6,237000,56,44,32,12,3,649,16188
2023,GM0074,Heerenveen,Gemeente,24010,23576,4,315000,60,40,28,12,3,272,51637
2023,GM0080,Leeuwarden,Gemeente,64684,65266,4,233000,51,49,28,21,2,535,127073
2023,GM0085,Ooststellingwerf,Gemeente,11468,11546,3,302000,67,33,27,6,5,116,25837
2023,GM0086,Opsterland,Gemeente,13318,12780,3,330000,70,30,22,8,5,134,30054
2023,GM0088,Schiermonnikoog,Gemeente,612,581,23,382000,53,46,26,20,5,23,982
2023,GM0090,Smallingerland,Gemeente,26241,25414,4,275000,60,40,30,10,3,479,56098
2023,GM0093,Terschelling,Gemeente,2318,2569,9,427000,63,37,19,18,5,57,4928
2023,GM0096,Vlieland,Gemeente,640,765,14,384000,37,63,32,31,5,31,1291
2023,GM0098,Weststellingwerf,Gemeente,11921,11659,4,299000,65,35,27,8,4,120,26467
2023,GM0106,Assen,Gemeente,32998,32359,3,277000,58,41,27,14,2,848,69414
2023,GM0109,Coevorden,Gemeente,15895,15787,5,287000,69,31,23,7,4,121,35700
2023,GM0114,Emmen,Gemeente,50332,49738,3,240000,62,38,28,10,4,324,108765
2023,GM0118,Hoogeveen,Gemeente,25775,24852,4,256000,61,38,28,10,3,442,56433
2023,GM0119,Meppel,Gemeente,16390,16235,4,289000,58,42,31,12,3,639,35464
2023,GM0141,Almelo,Gemeente,34067,33373,4,271000,54,46,34,12,2,1101,73949
2023,GM0147,Borne,Gemeente,10307,10298,2,369000,70,30,22,8,3,944,24524
2023,GM0148,Dalfsen,Gemeente,12332,12158,4,399000,74,26,17,8,4,179,29612
2023,GM0150,Deventer,Gemeente,47015,47961,3,324000,55,45,29,15,2,787,102781
2023,GM0153,Enschede,Gemeente,77059,81054,5,283000,48,52,37,16,2,1146,161235
2023,GM0158,Haaksbergen,Gemeente,10666,10440,5,355000,70,30,21,10,3,234,24502
2023,GM0160,Hardenberg,Gemeente,25844,25405,4,305000,70,30,21,9,4,200,62509
2023,GM0163,Hellendoorn,Gemeente,15061,14922,3,363000,73,27,21,6,4,263,36261
2023,GM0164,Hengelo,Gemeente,39523,39355,3,292000,57,43,31,13,2,1353,82311
2023,GM0166,Kampen,Gemeente,23340,22841,4,313000,63,37,25,12,3,394,55614
2023,GM0168,Losser,Gemeente,10067,9762,4,352000,70,30,19,11,4,237,23362
2023,GM0171,Noordoostpolder,Gemeente,20755,20982,4,310000,66,34,23,11,4,109,49729
2023,GM0173,Oldenzaal,Gemeente,14826,14354,3,332000,62,38,28,9,3,1481,31925
2023,GM0175,Ommen,Gemeente,7755,7960,5,386000,71,29,18,11,4,105,18955
2023,GM0177,Raalte,Gemeente,16400,16199,3,368000,69,31,24,7,4,225,38500
2023,GM0180,Staphorst,Gemeente,6099,6229,5,350000,78,22,11,11,5,132,17628
2023,GM0183,Tubbergen,Gemeente,8771,8358,6,400000,72,28,12,16,5,146,21408
2023,GM0184,Urk,Gemeente,6964,6788,4,327000,78,22,14,8,3,1661,21829
2023,GM0189,Wierden,Gemeente,10034,9877,4,379000,73,27,17,10,4,263,24862
2023,GM0193,Zwolle,Gemeente,60475,62308,3,344000,53,47,32,15,2,1196,132411
2023,GM0197,Aalten,Gemeente,12164,11685,3,312000,72,28,19,9,4,282,27244
2023,GM0200,Apeldoorn,Gemeente,75096,75979,3,376000,60,40,28,12,2,492,167191
2023,GM0202,Arnhem,Gemeente,79817,84273,4,322000,43,57,35,22,2,1696,165770
2023,GM0203,Barneveld,Gemeente,23576,23288,4,434000,68,32,18,14,4,351,61655
2023,GM0209,Beuningen,Gemeente,11391,11562,2,377000,70,30,22,8,3,609,26573
2023,GM0213,Brummen,Gemeente,9647,9330,4,370000,63,37,31,6,4,252,21105
2023,GM0214,Buren,Gemeente,11125,11610,4,415000,75,25,19,6,5,208,27725
2023,GM0216,Culemborg,Gemeente,13023,13043,3,368000,64,36,26,10,3,1016,29729
2023,GM0221,Doesburg,Gemeente,5380,5342,3,287000,53,46,39,8,4,959,11081
2023,GM0222,Doetinchem,Gemeente,26836,26579,3,303000,60,40,28,12,3,749,59195
2023,GM0225,Druten,Gemeente,8433,8264,4,347000,65,35,23,12,4,520,19505
2023,GM0226,Duiven,Gemeente,10865,10787,2,345000,67,33,27,6,3,736,24937
2023,GM0228,Ede,Gemeente,51718,51714,5,386000,65,35,21,14,2,384,122012
2023,GM0230,Elburg,Gemeente,9761,9655,3,345000,65,35,26,8,4,377,24037
