year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2025,GM1734,Overbetuwe,Gemeente,20703,20585,3,422000,68,32,22,10,4,449,48945
2025,GM1735,Hof van Twente,Gemeente,15711,15432,4,376000,69,31,19,12,4,168,35660
2025,GM1740,Neder-Betuwe,Gemeente,9356,9705,3,393000,66,34,28,6,5,430,25781
2025,GM1742,Rijssen-Holten,Gemeente,15310,14788,4,386000,70,30,21,10,3,413,38836
2025,GM1771,Geldrop-Mierlo,Gemeente,18586,18527,4,416000,65,35,26,8,3,1314,40754
2025,GM1773,Olst-Wijhe,Gemeente,8267,8118,3,415000,70,30,22,8,5,167,19003
2025,GM1774,Dinkelland,Gemeente,11366,10824,7,424000,75,25,12,13,5,152,26728
2025,GM1783,Westland,Gemeente,48147,50556,3,465000,69,31,23,8,3,1448,116916
2025,GM1842,Midden-Delfland,Gemeente,8145,8128,3,496000,73,27,22,5,3,412,19423
2025,GM1859,Berkelland,Gemeente,20015,19309,4,385000,69,31,24,8,4,170,43917
2025,GM1876,Bronckhorst,Gemeente,16499,15785,5,443000,71,29,18,11,5,127,36012
2025,GM1883,Sittard-Geleen,Gemeente,47306,46163,5,271000,59,41,28,14,2,1177,92491
2025,GM1884,Kaag en Braassem,Gemeente,12787,12857,4,487000,66,34,27,8,4,464,29316
2025,GM1891,Dantumadiel,Gemeente,8298,8065,3,319000,64,36,32,4,5,226,19137
2025,GM1892,Zuidplas,Gemeente,19670,19862,3,459000,69,31,25,6,3,841,48726
2025,GM1894,Peel en Maas,Gemeente,19196,20188,3,381000,73,27,19,8,4,288,45881
2025,GM1895,Oldambt,Gemeente,19336,18945,5,272000,64,36,25,11,4,175,39586
2025,GM1896,Zwartewaterland,Gemeente,9305,9067,5,333000,72,28,20,8,4,285,23507
2025,GM1900,Súdwest-Fryslân,Gemeente,43118,41250,5,317000,65,35,26,9,4,173,90534
2025,GM1901,Bodegraven-Reeuwijk,Gemeente,15273,15597,4,472000,72,28,20,8,3,493,37209
2025,GM1903,Eijsden-Margraten,Gemeente,11727,11551,5,408000,76,24,10,13,5,338,26181
2025,GM1904,Stichtse Vecht,Gemeente,29351,29300,5,506000,65,35,22,13,3,689,66130
2025,GM1911,Hollands Kroon,Gemeente,21697,22458,4,369000,71,29,22,7,5,140,49982
2025,GM1916,Leidschendam-Voorburg,Gemeente,37861,37719,4,443000,59,41,25,17,1,2402,78318
2025,GM1924,Goeree-Overflakkee,Gemeente,22997,22429,5,371000,65,35,28,7,4,199,52185
2025,GM1926,Pijnacker-Nootdorp,Gemeente,22893,23091,2,526000,72,28,20,9,2,1576,58126
2025,GM1930,Nissewaard,Gemeente,40514,40096,3,308000,59,41,36,5,2,1205,88341
2025,GM1931,Krimpenerwaard,Gemeente,24661,24561,4,414000,67,33,26,7,4,390,57798
2025,GM1940,De Fryske Marren,Gemeente,23886,22842,6,363000,70,30,23,7,4,149,52235
2025,GM1942,Gooise Meren,Gemeente,27944,27551,5,595000,64,35,21,14,2,1472,61003
2025,GM1945,Berg en Dal,Gemeente,16345,16388,4,395000,61,39,28,10,4,412,35558
2025,GM1948,Meierijstad,Gemeente,36823,37083,3,449000,69,31,21,10,3,460,84711
2025,GM1949,Waadhoeke,Gemeente,21596,20910,4,269000,68,32,24,8,5,164,46857
2025,GM1950,Westerwolde,Gemeente,12050,11392,8,292000,68,31,22,10,5,99,27421
2025,GM1952,Midden-Groningen,Gemeente,28833,28660,4,295000,62,38,29,9,4,221,61387
2025,GM1954,Beekdaelen,Gemeente,16915,16435,6,327000,73,27,18,9,4,458,35824
2025,GM1955,Montferland,Gemeente,16344,16351,3,322000,67,33,23,10,4,350,36996
2025,GM1959,Altena,Gemeente,23642,24204,3,401000,69,31,24,7,4,294,58726
2025,GM1960,West Betuwe,Gemeente,21792,21786,4,466000,73,27,21,6,5,247,53253
2025,GM1961,Vijfheerenlanden,Gemeente,26158,25749,3,404000,63,37,30,7,4,428,62554
2025,GM1963,Hoeksche Waard,Gemeente,39954,39219,3,392000,71,29,24,5,4,338,90747
2025,GM1966,Het Hogeland,Gemeente,22964,21946,5,282000,67,33,24,9,5,101,48178
2025,GM1969,Westerkwartier,Gemeente,28232,27481,3,330000,73,27,20,8,5,179,64841
2025,GM1970,Noardeast-Fryslân,Gemeente,21001,20182,5,294000,67,33,24,9,5,121,45864
2025,GM1978,Molenlanden,Gemeente,18111,17718,4,427000,70,30,25,6,5,250,45363
2025,GM1979,Eemsdelta,Gemeente,23649,21083,11,250000,56,43,31,12,4,167,44795
2025,GM1980,Dijk en Waard,Gemeente,38398,38466,2,414000,71,29,20,9,3,1466,90747
2025,GM1982,Land van Cuijk,Gemeente,40717,40756,3,394000,69,31,22,9,4,272,92817
2025,GM1991,Maashorst,Gemeente,26571,26397,4,423000,65,35,26,10,3,435,59671
2025,GM1992,Voorne aan Zee,Gemeente,33926,33948,4,396000,68,32,21,11,3,612,74527
