year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2020,GM0003,Appingedam,Gemeente,6042,5528,7,155000,48,52,43,9,3,490,11642
2020,GM0010,Delfzijl,Gemeente,12223,11591,7,138000,61,39,28,11,4,185,24678
2020,GM0014,Groningen,Gemeente,116445,136383,4,208000,41,59,33,25,1,1255,232874
2020,GM0024,Loppersum,Gemeente,4687,4297,8,175000,65,35,28,7,5,86,9537
2020,GM0034,Almere,Gemeente,85977,89319,2,251000,64,36,27,9,2,1640,211893
2020,GM0037,Stadskanaal,Gemeente,15292,14594,5,175000,59,39,31,9,4,269,31686
2020,GM0047,Veendam,Gemeente,12843,12654,3,154000,65,35,25,10,3,360,27384
2020,GM0050,Zeewolde,Gemeente,8678,9668,3,289000,71,29,23,7,4,92,22653
2020,GM0059,Achtkarspelen,Gemeente,12129,11757,3,192000,64,36,31,5,5,272,27843
2020,GM0060,Ameland,Gemeente,1737,1732,13,246000,68,31,0,31,5,63,3716
2020,GM0072,Harlingen,Gemeente,7798,7484,6,179000,55,45,33,12,3,630,15722
2020,GM0074,Heerenveen,Gemeente,23528,22895,4,229000,60,40,29,11,3,266,50493
2020,GM0080,Leeuwarden,Gemeente,62599,63338,4,167000,51,48,29,19,2,521,124084
2020,GM0085,Ooststellingwerf,Gemeente,11253,11255,3,222000,67,33,27,6,5,114,25469
2020,GM0086,Opsterland,Gemeente,13064,12582,3,240000,70,30,22,7,5,132,29733
2020,GM0088,Schiermonnikoog,Gemeente,587,538,24,256000,56,43,24,19,5,23,947
2020,GM0090,Smallingerland,Gemeente,25768,25025,3,195000,60,40,31,9,3,479,56150
2020,GM0093,Terschelling,Gemeente,2293,2550,10,322000,64,36,19,17,5,57,4888
2020,GM0096,Vlieland,Gemeente,579,643,15,284000,39,60,32,28,5,30,1155
2020,GM0098,Weststellingwerf,Gemeente,11711,11356,5,216000,65,35,28,8,4,118,25914
2020,GM0106,Assen,Gemeente,32154,31371,3,195000,59,41,28,13,2,838,68599
2020,GM0109,Coevorden,Gemeente,15555,15501,4,214000,69,31,24,7,5,119,35297
2020,GM0114,Emmen,Gemeente,49308,48631,3,174000,62,38,29,9,4,319,107048
2020,GM0118,Hoogeveen,Gemeente,25236,24351,4,189000,61,38,29,10,3,437,55699
2020,GM0119,Meppel,Gemeente,15851,15424,4,213000,58,42,31,11,3,611,33920
2020,GM0141,Almelo,Gemeente,33549,32714,4,184000,55,45,35,11,2,1087,73107
2020,GM0147,Borne,Gemeente,9954,9738,3,261000,69,31,23,8,3,897,23312
2020,GM0148,Dalfsen,Gemeente,11889,11609,4,312000,74,25,17,8,4,173,28587
2020,GM0150,Deventer,Gemeente,45988,46648,3,225000,55,45,30,15,2,771,100719
2020,GM0153,Enschede,Gemeente,75222,79459,5,195000,49,51,37,14,2,1134,159640
2020,GM0158,Haaksbergen,Gemeente,10497,10217,5,252000,69,31,22,9,3,232,24311
2020,GM0160,Hardenberg,Gemeente,24810,24358,3,229000,70,30,21,8,4,195,60948
2020,GM0163,Hellendoorn,Gemeente,14889,14721,3,263000,72,28,21,6,4,260,35916
2020,GM0164,Hengelo,Gemeente,38701,38016,4,202000,56,44,32,12,2,1334,81140
2020,GM0166,Kampen,Gemeente,22517,22217,4,234000,64,36,26,11,3,382,54319
2020,GM0168,Losser,Gemeente,9789,9392,4,249000,69,31,20,11,4,230,22683
2020,GM0171,Noordoostpolder,Gemeente,20134,19422,5,227000,65,35,24,10,4,103,47291
2020,GM0173,Oldenzaal,Gemeente,14614,14035,3,240000,62,38,29,9,3,1477,31836
2020,GM0175,Ommen,Gemeente,7519,7467,5,268000,70,30,18,12,4,100,18009
2020,GM0177,Raalte,Gemeente,15902,15670,3,269000,69,31,24,7,4,221,37712
2020,GM0180,Staphorst,Gemeente,5933,5962,5,277000,77,23,11,12,5,128,17145
2020,GM0183,Tubbergen,Gemeente,8604,8159,6,304000,71,28,12,16,5,145,21275
2020,GM0184,Urk,Gemeente,6663,6346,5,239000,78,22,14,8,3,1599,21031
2020,GM0189,Wierden,Gemeente,9860,9633,4,278000,73,27,17,10,4,258,24446
2020,GM0193,Zwolle,Gemeente,58492,60093,3,252000,53,47,33,14,2,1160,128840
2020,GM0197,Aalten,Gemeente,11976,11513,3,223000,71,29,19,9,4,281,27121
2020,GM0200,Apeldoorn,Gemeente,73244,73518,4,263000,60,40,28,11,2,482,163818
2020,GM0202,Arnhem,Gemeente,76737,81399,4,221000,43,56,36,21,2,1649,161348
2020,GM0203,Barneveld,Gemeente,22799,22392,4,317000,68,32,19,13,4,336,59082
2020,GM0209,Beuningen,Gemeente,11137,11209,2,271000,70,30,23,8,4,593,25890
2020,GM0213,Brummen,Gemeente,9348,9036,3,265000,62,38,31,7,4,248,20726
2020,GM0214,Buren,Gemeente,10829,11053,4,327000,75,25,20,6,5,200,26749
2020,GM0216,Culemborg,Gemeente,12530,12614,3,253000,63,36,27,9,3,989,28955
2020,GM0221,Doesburg,Gemeente,5293,5223,4,211000,53,47,39,8,4,961,11077
2020,GM0222,Doetinchem,Gemeente,26129,25891,3,220000,60,40,30,10,3,734,58001
2020,GM0225,Druten,Gemeente,8126,7880,3,262000,64,35,24,11,4,503,18926
2020,GM0226,Duiven,Gemeente,10743,10664,2,244000,67,33,27,6,3,741,25126
2020,GM0228,Ede,Gemeente,49152,49444,5,291000,66,34,21,13,2,368,117165
2020,GM0230,Elburg,Gemeente,9356,9128,3,269000,65,35,27,9,4,363,23161
2020,GM0232,Epe,Gemeente,14586,14212,4,314000,65,35,28,8,4,213,33178
2020,GM0233,Ermelo,Gemeente,11156,11291,5,321000,63,37,25,12,4,315,27008
2020,GM0243,Harderwijk,Gemeente,19942,20531,3,272000,59,40,29,11,2,1245,48414
2020,GM0244,Hattem,Gemeente,5298,5084,4,295000,66,34,26,7,4,529,12209
2020,GM0246,Heerde,Gemeente,7924,7670,3,293000,69,31,24,7,4,236,18589
2020,GM0252,Heumen,Gemeente,7206,7145,3,306000,71,29,19,10,4,414,16454
2020,GM0262,Lochem,Gemeente,15096,14787,5,328000,71,29,19,11,4,158,33729
2020,GM0263,Maasdriel,Gemeente,10115,10591,4,299000,71,29,21,8,5,379,25030
2020,GM0267,Nijkerk,Gemeente,17321,17448,3,333000,70,30,23,7,3,623,43171
2020,GM0268,Nijmegen,Gemeente,81717,96644,3,252000,43,56,40,17,2,3346,177659
2020,GM0269,Oldebroek,Gemeente,9318,9157,3,286000,68,31,23,8,4,242,23646
2020,GM0273,Putten,Gemeente,9727,9606,5,345000,67,33,22,11,4,283,24112
2020,GM0274,Renkum,Gemeente,14985,14566,5,299000,63,37,21,16,4,684,31419
2020,GM0275,Rheden,Gemeente,21212,21128,4,236000,55,44,29,15,3,535,43761
2020,GM0277,Rozendaal,Gemeente,688,688,2,533000,88,12,7,5,4,61,1704
2020,GM0279,Scherpenzeel,Gemeente,4002,3960,4,298000,72,27,17,10,4,717,9880
2020,GM0281,Tiel,Gemeente,18080,18726,3,224000,57,43,35,8,3,1282,42159
2020,GM0285,Voorst,Gemeente,10641,10149,6,319000,66,34,23,10,4,200,24552
2020,GM0289,Wageningen,Gemeente,17721,22676,4,243000,43,57,40,18,2,1304,39664
2020,GM0293,Westervoort,Gemeente,6723,6697,2,219000,59,41,31,10,3,2130,14971
2020,GM0294,Winterswijk,Gemeente,13139,12772,4,214000,70,30,18,11,3,209,28854
2020,GM0296,Wijchen,Gemeente,18023,17729,2,263000,67,32,25,7,3,621,41110
2020,GM0297,Zaltbommel,Gemeente,11623,11862,4,271000,67,33,24,9,4,364,28881
2020,GM0299,Zevenaar,Gemeente,19970,19850,3,219000,63,37,29,8,3,472,43750
2020,GM0301,Zutphen,Gemeente,22267,22046,4,216000,56,44,32,12,2,1170,47934
2020,GM0302,Nunspeet,Gemeente,10957,10934,4,300000,65,34,24,10,4,216,27851
2020,GM0303,Dronten,Gemeente,17390,17532,4,244000,67,33,26,8,4,125,41555
2020,GM0307,Amersfoort,Gemeente,67722,69226,2,306000,58,41,29,12,2,2512,157276
2020,GM0308,Baarn,Gemeente,11679,11099,6,343000,61,39,25,13,2,764,24868
2020,GM0310,De Bilt,Gemeente,19577,19259,4,421000,60,39,28,12,3,652,43137
2020,GM0312,Bunnik,Gemeente,6392,6433,3,382000,75,25,16,9,4,411,15191
2020,GM0313,Bunschoten,Gemeente,8536,8370,4,314000,75,25,14,12,3,720,21866
2020,GM0317,Eemnes,Gemeente,4008,3958,3,378000,71,28,22,6,4,298,9247
2020,GM0321,Houten,Gemeente,20417,20265,2,351000,68,32,25,7,2,913,50146
2020,GM0327,Leusden,Gemeente,13043,13040,2,341000,71,29,21,9,3,519,30401
2020,GM0331,Lopik,Gemeente,5741,5647,4,313000,74,26,18,8,5,191,14467
2020,GM0335,Montfoort,Gemeente,5740,5648,4,316000,74,26,16,9,4,370,13917
2020,GM0339,Renswoude,Gemeente,2134,2089,4,345000,74,26,0,26,4,296,5444
2020,GM0340,Rhenen,Gemeente,8225,8286,3,311000,65,35,27,8,4,478,20119
2020,GM0342,Soest,Gemeente,20699,20636,3,333000,64,36,22,13,3,1008,46606
2020,GM0344,Utrecht,Gemeente,156678,181670,4,331000,45,54,32,22,1,3811,357597
2020,GM0345,Veenendaal,Gemeente,28353,28021,2,256000,59,41,32,9,2,3417,66493
2020,GM0351,Woudenberg,Gemeente,5188,5135,3,335000,72,28,21,7,4,366,13362
2020,GM0352,Wijk bij Duurstede,Gemeente,10107,10096,2,297000,70,30,23,6,3,502,23914
2020,GM0353,IJsselstein,Gemeente,14407,14374,2,289000,64,36,24,11,2,1619,34109
2020,GM0355,Zeist,Gemeente,29245,29324,5,376000,52,47,29,18,2,1338,64905
2020,GM0356,Nieuwegein,Gemeente,28844,29328,2,252000,60,40,30,10,2,2700,63462
2020,GM0358,Aalsmeer,Gemeente,13217,13182,4,361000,65,35,24,12,4,1584,31859
2020,GM0361,Alkmaar,Gemeente,51339,52179,3,243000,59,41,30,12,2,991,109436
2020,GM0362,Amstelveen,Gemeente,42310,43485,6,420000,47,53,30,23,1,2229,91675
2020,GM0363,Amsterdam,Gemeente,447351,475368,6,416000,29,70,41,29,1,5273,872757
2020,GM0370,Beemster,Gemeente,4036,4041,3,405000,76,24,18,6,4,142,10022
2020,GM0373,Bergen (NH.),Gemeente,15344,13836,10,414000,67,33,18,14,4,302,29839
