year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2024,GM0014,Groningen,Gemeente,124258,145764,4,300000,40,60,32,28,1,1314,243768
2024,GM0034,Almere,Gemeente,92353,96667,2,375000,62,37,27,11,2,1753,226500
2024,GM0037,Stadskanaal,Gemeente,15169,14763,4,263000,61,39,30,9,4,272,32013
2024,GM0047,Veendam,Gemeente,13084,12830,3,226000,65,35,24,11,3,362,27520
2024,GM0050,Zeewolde,Gemeente,9712,10361,3,413000,70,30,21,9,4,97,23899
2024,GM0059,Achtkarspelen,Gemeente,12376,12122,3,271000,64,36,30,6,5,276,28226
2024,GM0060,Ameland,Gemeente,1891,1886,14,346000,67,33,0,33,5,68,3839
2024,GM0072,Harlingen,Gemeente,8113,7828,6,248000,56,44,32,12,3,650,16229
2024,GM0074,Heerenveen,Gemeente,24116,23850,3,325000,60,40,28,12,3,273,51787
2024,GM0080,Leeuwarden,Gemeente,65594,66821,4,249000,50,49,28,21,2,542,128810
2024,GM0085,Ooststellingwerf,Gemeente,11491,11633,3,310000,67,33,27,6,5,116,25824
2024,GM0086,Opsterland,Gemeente,13409,12801,3,339000,70,30,22,8,5,134,30059
2024,GM0088,Schiermonnikoog,Gemeente,613,565,23,403000,53,46,26,21,5,23,972
2024,GM0090,Smallingerland,Gemeente,26451,25783,4,286000,60,40,30,10,3,484,56661
2024,GM0093,Terschelling,Gemeente,2349,2645,10,437000,63,37,19,18,5,56,4898
2024,GM0096,Vlieland,Gemeente,642,756,15,399000,37,62,32,30,5,30,1255
2024,GM0098,Weststellingwerf,Gemeente,12033,11750,4,309000,65,35,27,8,4,120,26487
2024,GM0106,Assen,Gemeente,33215,32550,3,284000,59,41,27,14,2,851,69701
2024,GM0109,Coevorden,Gemeente,15966,15826,5,297000,69,31,23,7,4,121,35725
2024,GM0114,Emmen,Gemeente,50563,50288,3,250000,63,37,28,10,4,326,109346
2024,GM0118,Hoogeveen,Gemeente,25791,25079,4,271000,61,38,28,10,3,444,56591
2024,GM0119,Meppel,Gemeente,16612,16589,4,298000,58,42,31,12,3,645,35810
2024,GM0141,Almelo,Gemeente,34496,33795,4,284000,55,45,33,12,2,1106,74317
2024,GM0147,Borne,Gemeente,10468,10409,3,393000,70,30,22,8,3,948,24639
2024,GM0148,Dalfsen,Gemeente,12461,12270,4,430000,74,26,17,8,4,180,29683
2024,GM0150,Deventer,Gemeente,47516,48508,3,342000,56,44,29,15,2,792,103405
2024,GM0153,Enschede,Gemeente,77059,81878,4,296000,48,52,36,16,2,1149,161738
2024,GM0158,Haaksbergen,Gemeente,10739,10407,5,368000,70,30,21,10,3,232,24359
2024,GM0160,Hardenberg,Gemeente,26078,25617,4,329000,70,30,21,9,4,202,62932
2024,GM0163,Hellendoorn,Gemeente,15158,14965,3,394000,73,27,21,6,4,263,36264
2024,GM0164,Hengelo,Gemeente,39985,39858,3,306000,56,44,30,13,2,1365,83058
2024,GM0166,Kampen,Gemeente,23530,23148,4,337000,63,37,25,12,3,398,56177
2024,GM0168,Losser,Gemeente,10147,9846,4,369000,70,30,19,11,4,237,23376
2024,GM0171,Noordoostpolder,Gemeente,21202,21183,5,326000,65,35,22,12,4,109,50035
2024,GM0173,Oldenzaal,Gemeente,14900,14352,4,352000,62,37,28,9,3,1475,31794
2024,GM0175,Ommen,Gemeente,7815,7983,5,408000,71,29,18,11,4,106,19031
2024,GM0177,Raalte,Gemeente,16461,16305,3,390000,69,31,24,7,4,224,38364
2024,GM0180,Staphorst,Gemeente,6163,6331,6,358000,78,22,11,11,5,132,17739
2024,GM0183,Tubbergen,Gemeente,8833,8405,7,424000,72,27,12,16,5,146,21397
2024,GM0184,Urk,Gemeente,7004,6829,4,343000,78,22,14,9,3,1671,21958
